# Aliases present in mathlib v4.32.0 and ABSENT in v4.33.1 — deleted outright, NOT @[deprecated].
# Each produces a bare `Unknown identifier` with nothing to grep for.
# Generated by diffing `alias X := Y` declarations across the two tags; `replacement` is
# what the alias pointed at in v4.32.0, so it is the mechanical substitution.
# uses_in_reservoir = occurrences across the ~700-package Reservoir mirror. Those packages
# are pinned at many different mathlib versions, so a count is 'will break on bumping', not
# 'is broken today'.
removed_alias	replacement	uses_in_reservoir
iSup_sequence_lt_omega1	Ordinal.iSup_lt_omega_one	0
iteratedPDeriv	LineDeriv.iteratedLineDerivOpCLM	0
iteratedPDeriv_eq_iteratedFDeriv	iteratedLineDerivOp_eq_iteratedFDeriv	0
iteratedPDeriv_one	LineDeriv.iteratedLineDerivOp_one	0
iteratedPDeriv_succ_left	LineDeriv.iteratedLineDerivOp_succ_left	0
iteratedPDeriv_succ_right	LineDeriv.iteratedLineDerivOp_succ_right	0
iteratedPDeriv_zero	LineDeriv.iteratedLineDerivOp_zero	0
iUnion_range_specComap_comp_evalRingHom	iUnion_range_comap_comp_evalRingHom	0
le_le_succ_iff	le_and_le_succ_iff	0
lipschitz_evalx	lipschitz_eval_const	0
localization_specComap_injective	localization_comap_injective	0
logCounting_top_mul_eventually_le	logCounting_mul_top_eventuallyLE	0
logCounting_zero_mul_eventually_le	logCounting_mul_zero_eventuallyLE	0
logMahlerMeasure_mul_eq_add_logMahelerMeasure	logMahlerMeasure_mul_eq_add_logMahlerMeasure	0
LowerSemicontinuous.comp_continuous	LowerSemicontinuous.comp	0
LowerSemicontinuousAt.comp_continuousAt	LowerSemicontinuousAt.comp	0
LowerSemicontinuousAt.comp_continuousAt_of_eq	LowerSemicontinuousAt.comp	0
map_expand_pow_char	map_iterateFrobenius_expand	0
map_rootOfSplits	eval_rootOfSplits	0
map_rootOfSplits'	eval_rootOfSplits	0
mellinInv_eq_fourierIntegralInv	mellinInv_eq_fourierInv	0
mem_lift_of_splits_of_roots_mem_range	Splits.mem_lift_of_roots_mem_range	0
mk_neg	neg_mk	0
Module.FaithfullyFlat.of_specComap_surjective	Module.FaithfullyFlat.of_comap_surjective	0
natDegree_eq_card_roots'	Splits.natDegree_eq_card_roots	0
next_ne_head_ne_getLast	next_cons_eq_next_of_mem_dropLast	0
nextOr_eq_nextOr_of_mem_of_ne	nextOr_eq_nextOr_of_mem_dropLast	0
noncommProd_mul_single	noncommProd_mulSingle	0
noncommSum_add_single	noncommSum_single	0
ofScalars_radius_ge_inv_of_tendsto	inv_le_ofScalars_radius_of_tendsto	0
omega0_lt_omega1	omega0_lt_omega_one	0
Ordinal.toType	Ordinal.ToType	0
PadicInt.dividedPowers_of_injective	DividedPowers.ofInjective	0
pderivCLM	lineDerivOpCLM	0
pderivCLM_apply	LineDeriv.lineDerivOpCLM_apply	0
perm_inv_mapsTo_iff_mapsTo	perm_symm_mapsTo_iff_mapsTo	0
perm_inv_on_of_perm_on_finite	perm_symm_on_of_perm_on_finite	0
perm_inv_on_of_perm_on_finset	perm_symm_on_of_perm_on_finset	0
pred_le_le_iff	pred_le_and_le_iff	0
pred_le_pred_of_le	pred_mono	0
pred_le_pred_of_not_isMin_of_le	pred_mono	0
preErgodic_of_preErgodic_conjugate	preErgodic_of_preErgodic_semiconj	0
PrimeSpectrum.preimageOrderIsoTensorResidueField	PrimeSpectrum.preimageOrderIsoFiber	0
PrimeSpectrum.residueField_specComap	PrimeSpectrum.residueField_comap	0
ramificationIdx_of_not_dvd	ramificationIdx_eq_of_not_dvd	0
range_specComap_of_surjective	range_comap_of_surjective	0
rangeIcc_toFun	rangeIcc_apply	0
Real.tsum_eq_tsum_fourierIntegral	Real.tsum_eq_tsum_fourier	0
RingHom.strictMono_specComap_of_surjective	RingHom.strictMono_comap_of_surjective	0
rootOfSplits'	rootOfSplits	0
roots_ne_zero_of_splits	Splits.roots_ne_zero	0
roots_ne_zero_of_splits'	Splits.roots_ne_zero	0
SchwartzMap.toLp_fourierTransform_eq	SchwartzMap.toLp_fourier_eq	0
SchwartzMap.toLp_fourierTransformInv_eq	SchwartzMap.toLp_fourierInv_eq	0
specComap_injective_of_surjective	comap_injective_of_surjective	0
splits_C	Splits.C	0
splits_comp_of_splits	Splits.map	0
splits_id_of_splits	Splits.of_splits_map	0
splits_of_algHom	Splits.of_algHom	0
splits_of_comp	Splits.of_splits_map	0
splits_of_degree_eq_one	Splits.of_degree_eq_one	0
splits_of_degree_eq_two	Splits.of_degree_eq_two	0
splits_of_degree_le_one	Splits.of_degree_le_one	0
splits_of_exists_multiset	splits_iff_exists_multiset	0
splits_of_isScalarTower	Splits.of_isScalarTower	0
splits_of_isUnit	IsUnit.splits	0
splits_of_map_degree_eq_one	Splits.of_degree_eq_one	0
splits_of_natDegree_eq_one	Splits.of_natDegree_eq_one	0
splits_of_natDegree_eq_two	Splits.of_natDegree_eq_two	0
splits_of_natDegree_le_one	Splits.of_natDegree_le_one	0
splits_of_splits_id	Splits.map	0
splits_of_splits_mul	splits_mul	0
splits_of_splits_mul'	splits_mul	0
splits_of_splits_of_dvd	Splits.of_dvd	0
splits_one	Splits.one	0
splits_pow	Splits.pow	0
splits_prod	Splits.prod	0
splits_X	Splits.X	0
splits_X_pow	Splits.X_pow	0
splits_zero	Splits.zero	0
Splits.comp_of_map_degree_le_one	Splits.comp_of_degree_le_one	0
Splits.def	splits_iff_splits	0
Splits.map_roots	Splits.roots_map	0
Splits.splits_of_dvd	Splits.of_dvd	0
strictMono_add_left_of_ne_top	add_left_strictMono_of_ne_top	0
strictMono_add_right_of_ne_top	add_right_strictMono_of_ne_top	0
Subpresheaf.eq_sheafify_iff	Subfunctor.eq_sheafify_iff	0
Subpresheaf.sheafify_isSheaf	Subfunctor.sheafify_isSheaf	0
Subpresheaf.sheafify_sheafify	Subfunctor.sheafify_sheafify	0
Subpresheaf.to_sheafify_lift_unique	Subfunctor.to_sheafify_lift_unique	0
Subpresheaf.to_sheafifyLift	Subfunctor.to_sheafifyLift	0
Subpresheaf.toRangeSheafify	Subfunctor.toRangeSheafify	0
support_mul_subset_add_support	support_mul_subset	0
unbot_le_unbot	unbot_le_unbot_iff	0
unbot_lt_unbot	unbot_lt_unbot_iff	0
UpperSemicontinuous.comp_continuous	UpperSemicontinuous.comp	0
UpperSemicontinuousAt.comp_continuousAt	UpperSemicontinuousAt.comp	0
UpperSemicontinuousAt.comp_continuousAt_of_eq	UpperSemicontinuousAt.comp	0
